Dao_title,categories,about,blockchain,followers,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/8392106e2ff53c3a848c7133099faebb.png
kyve dao,['Protocol'],protocol that enables data providers to seamlessly store and reliably verify their data streams,other,0,https://ipfs.io/ipfs/QmSwowMUV6yduzV8raPBYUb4aQxZ5rL88YDaKWmotJRXwQ
crown capital dao,"['DeFi', 'Gaming']",crown capital is focused on direct investment and maximizing yield from its portfolio of income producing assets in top gaming economies,ethereum,1600,https://twitter.com/AltruProtocol/photo
altruism protocol dao,"['DAO Tools', 'Protocol']",altrucoin is defi as service platform building more decentralized defi lending protocol that supports holders and charitable causes around the world the altruism protocol is an ecosystem of decentralized applications building defi lending platform for all tokens the protocol brings together an existing multi dapp ecosystem trustless defi lending modern utility token charitable donations and decentralized governance,binance,6200,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/IEyK8aDX_400x400.jpg
herstory dao,['Collector'],an on offline art collective dedicated to preserving and incubating the stories of marginalized crypto creators,ethereum,7600,https://pbs.twimg.com/profile_images/1196456510424961025/zacb-9pN_400x400.jpg
maker dao,"['Investment', 'DeFi', 'Protocol']",creating the world first unbiased currency,other,0,https://raw.githubusercontent.com/snapshot-labs/snapshot-spaces/master/spaces/avatars/realcycloneprotocol.eth/space.png
cyclone protocol dao,['DeFi'],cyclone is protocol that applies zksnarks to enable transactional privacy by breaking the on chain link between depositor and recipient addresses,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/wTYBW3dP_400x400.png
ftx dao,['DeFi'],crypto derivatives exchange for traders by traders,binance,700800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/2N92x2iV_400x400.jpg
spectral skellies dao,"['Collector', 'Social']",nft collection,ethereum,6100,https://ipfs.io/ipfs/QmZSPtxdSzfN8mGVBhJsrtsohR9DBcg5vYbobE7hprXGyK
koios dao,['Social'],the open learning infrastructure place to learn and earn for students all over the world students have enrolled through the hague university,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/3IDye9t2_400x400.jpg
slackerdao,['Collector'],dao for slackerduck holders,ethereum,9100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/uyO7dQzR_400x400.jpg
blackpool dao,"['DeFi', 'Investment']",new fund operating within the nft industry managing range of assets from sports cards to game items to digital art,ethereum,25600,https://twitter.com/Benchmark_DeFi/photo
benchmark protocol dao,"['Protocol', 'DeFi']",decentralized supply elastic digital currency built on the chainlink keeper network meet the mark token supply elastic token that adjusts supply on daily basis to meet demand,ethereum,2600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/5RF1TWrd_400x400.jpg
braintrust dao,['Social'],the first decentralized talent network,ethereum,162800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/iuNlNb1h_400x400.png
apy vision dao,"['DAO Tools', 'DeFi']",all in one liquidity pool analytics and yield farming rewards tracking tool,ethereum,27900,https://ipfs.io/ipfs/QmRCbomNYE8w9tdnhJjLwZqKKwKxMG1MsfmtABkZgcER6K
cubo dao,['other'],we re building high yield sustainable liquidity owning polygon nodes with full transparency,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/BAZnbvtO_400x400.jpg
coinburp dao,"['DeFi', 'Protocol']",crypto trading platform on trustpilot uk,ethereum,68200,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/uMLGtx64_400x400.jpg
ponto  dao,['DeFi'],exchange and liquidity api,ethereum,0,https://ipfs.io/ipfs/QmYVL8th53Vty6ZTNsRqdrH4z2nLSrcyg7EGro65Nhg9Z9
unknowndao,['Social'],your cyber home dao to facilitate whole and free individuals we help people look inside to better achieve outside,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/WT2x2OlQ_400x400.png
colony dao,['DAO Tools'],the best way to build your dao,ethereum,23600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/bteKOcAH_400x400.jpg
ape dao,['Collector'],ape dao started with the token partition of valuable nfts into aped erc tokens which serve holders governance over their nfts general governance is currently token barred moving towards community rule,ethereum,14300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/JVnEkS4F_400x400.jpg
gelato network dao,"['DAO Tools', 'DeFi']",automated smart contract executions on ethereum,ethereum,48900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/oVYpttUf_400x400.jpg
anubisdao,['Social'],unique protocol built on kcc features dynamic buy back along with dynamic sell tax both depending on slippage,ethereum,12200,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/awDP3euJ_400x400.jpg
kitpics dao,['Collector'],nft collection,ethereum,1300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/iR0aoxSO_400x400.jpg
buildspace dao,"['DAO Tools', 'Social']",the ability to create cool things right now earn nft get access to secret cryptocurrency opportunities,ethereum,190400,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/JjqQ9ROz_400x400.jpg
frax finance dao,['Protocol'],the first fractional algorithmic stablecoin protocol with an end goal of providing highly scalable decentralized algorithmic money in place of fixed supply digital assets like btc,ethereum,66700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/klVuCa_9_400x400.jpg
opium dao,['Protocol'],universal and robust protocol that allows for creating settling and trading any decentralised derivative,ethereum,12000,https://ipfs.io/ipfs/QmQhVLhLqsc6AoxnA9PpAMocGoBw1tMaDfu1ztsn2Zvrs5
cross-chain capital dao,['DeFi'],community led investment dao,avalanche,3700,https://ipfs.io/ipfs/QmSAaN8f5vZtai5Gi1Nv7zntXRhQy4sd7PpocUE2bV46Ti
aoicard dao,"['other', 'other', 'other']",use our cryptography illustrations freely if you would like to be part of aoicard nft is also available for you and also,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/50xx2d6X_400x400.jpg
akropolis dao,"['DeFi', 'Protocol']",defi yield on autopilot akropolis is company that operates an ethereum based decentralized finance protocol that seeks to provide an autonomous financial ecosystem for saving and growing wealth including through borrowing and lending,ethereum,56200,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/8sy5CUDk_400x400.jpg
pathfinders dao,['DeFi'],dao for community of crypto earning learners,ethereum,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/5tO76MIG_400x400.jpg
bprotocol dao,['Protocol'],bprotocol offers liquidity backstops for defi protocols incentivized pool of specific loans which allows more leverage for protocols general pools,ethereum,9100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/woZCJQKq_400x400.jpg
set protocol dao,['DeFi'],an ethereum native defi primitive that leverages existing open finance protocols to allow for the bundling of crypto assets into fully collateralised baskets which are represented as erc tokens on the ethereum blockchain,ethereum,52900,https://ipfs.io/ipfs/QmYWedL5giM94g8NS134kZVCrmi2vexjSZTFQypGWjjL7k
coffee junkie club dao,"['other', 'other', 'other', 'other']",club where like minded individuals can come together over coffee in the world where technology makes us feel even more isolated we decided to create project that will be focused on community we can all agree that good cup of coffee comes pretty darn close to nice big hug so here hug from us to you with uniquely brewed coffee junkies,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/j3mkztF7_400x400.jpg
dforce dao,"['DAO Tools', 'Protocol', 'DeFi']",advocates for building an integrated and interoperable open finance protocol matrix covering lending global liquidity pool yield markets assets stablecoin synthetic asset etc and trading liquidity aggregator amm,ethereum,17600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/UzCJvvVV_400x400.png
tempus dao,"['DeFi', 'Investment']",future yield tokenization and fixed rate protocol,ethereum,16600,https://ipfs.io/ipfs/QmdE9aBY812UPJStr6QMWdRSejHXi3i3UBCLfrZ95Nn2r4
bao finance dao,['DeFi'],our mission is to build an open platform for synthetic tokens that represent any data bao stands for treasure or package something wonderful that is wrapped up in another layer bao buns or in chinese baozi 包子 are delicious wrapped dumplings these bao buns are the tradition of taking something good that exists and wrapping it up into being new treasure bao finance aims to do this by being new protocol that adds features to existing defi systems,ethereum,12900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/TR3v1MhX_400x400.jpg
bitnomial dao,['DeFi'],improved derivatives exchange technology coupled with new digital asset settlement systems,bitcoin,0,https://ipfs.io/ipfs/QmSB7njRs1vubL4jwuWHE2v91wJ1tbAcdFuwYjWe9oe56o
stabilize dao,['DeFi'],borrow susd against basic assets interest bearing asset at interest,avalanche,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/Kuiapnmy_400x400.jpg
unlockprotocol dao,"['DAO Tools', 'Social', 'Media']",ʉnlock is an open source protocol for memberships as nfts there are many ways to think about decentralized autonomous organizations one way to think of it is as system are working together toward shared goal by leveraging the internet and its networks as their main collaboration tool for the unlock dao the participants are anyone who owns our governance token or as anyone who uses the protocol can earn some anyone who used the protocol even only once similarly the goal is the development of the protocol this includes the technical aspects writing new features in the core contracts but also the marketing aspects promoting the protocol or even operational ones around the dao itself the tools we use are the udt tokens to get started as the way to establish voting but also brand new governance contract the governance contract uses openzeppelin libraries see our code and sets the process through which the dao makes decision to get started we set few defaults for these rules but they can be altered by the community,ethereum,15900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/RdHwdSSi_400x400.jpg
multis dao,"['DAO Tools', 'DeFi']",business wallet for crypto native companies,ethereum,3700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/zdJYITbz_400x400.png
nft20 dao,"['Social Impact', 'DeFi']",permissionless protocol to tokenize nfts and make them tradable on decentralized exchanges such as uniswap or sushiswap,ethereum,14600,https://ipfs.io/ipfs/QmRCby5R3Q9nDCjMmbxSdghTHhp3iD1k2PXxdLqLTBmAaU
mcn ventures dao,"['DeFi', 'Grant']",for decisions about farming mcn,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/NQCsdXTC_400x400.jpg
raid guild dao,['other'],decentralized collective of mercenaries ready to slay your web product demons we believe that daos will power the future of work through the metacartel network we assembled fellowship of the best builders designers and hustlers in the space in order to make this future reality by sharing resources branding and collaboration tools we can create positive sum value for the ethereum ecosystem in way that has never been possible before the advent of daos we believe in web and are here to build it use it and propogate it the profits from our work will be used to fund development of open source tooling and public goods we will share the learnings from our experiments and open source our processes for the community to learn and build from if you want to go fast go alone if you want to go far go together,ethereum,10500,https://ipfs.io/ipfs/QmSFDoqLAS7qJVfJnw2QqGKcm7azrrHXPJQundTDWtHLja
yup dao,['Social'],curate and share content across the web earn money and clout for your taste,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/GPelir5H_400x400.jpg
doingud dao,"['other', 'Social Impact']",doingud is an nft ecosystem empowering creators collectors curators and communities to do good we are hiring,ethereum,29100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/de1c2a0cee5190768db5141abdb7a8e2.png
eventdao,"['DAO Tools', 'Media', 'Metaverse', 'Social', 'Social Impact']",eventdao brings the world largest events concerts into decentralized space and shares event profits with the community eventdao aims to create sustainable and profitable events that are voted by the dao and implements blockchain solutions into the irl entertainment industry with awarded advisors and angel investors behind our team we have producers who worked with the artists such as travis scott drake and juice wrld on our eventdao artist list,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/KfwokkZe_400x400.jpg
project galaxy dao,"['DAO Tools', 'other']",building permissionless infrastructure that powers on chain credentials with plug and play nft modules,ethereum,748000,https://pbs.twimg.com/profile_images/1520037253288022021/sZ6wWV8z_400x400.jpg
revenant dao,"['other', 'other', 'other', 'other']",the first decentralized gaming ecosystem on the metis network play earn invest,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/TdNyjlBL_400x400.jpg
flamingo dao,"['Collector', 'Investment']",flamboyance of nft collectors curators and artists,ethereum,49500,https://pbs.twimg.com/profile_images/1542835324824551426/seLXwZKW_400x400.jpg
hopr genesis dao,"['DAO Tools', 'Social Impact']",we re building private internet for everyone hopr decentralized incentivized mixnet obscures all metadata including ip addresses making it impossible to tell anything about who is communicating and what data they re sending hopr is at the forefront of decentralized governance the fair launch of the hopr token was entirely community driven with of raised funds remaining under control of the dao regular governance experiments further research into effective governance techniques which balance the interests of small and large token holders,ethereum,9500,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/aREQff_C_400x400.jpg
radicle dao,['Social'],radicle is community governed coding network that facilitates collaborative coding in permissionless creator owned interactive environment with designated development tools,ethereum,37800,https://d27xw04vvul50f.cloudfront.net/familyparty/logo.png
familyparty dao,"['Gaming', 'Metaverse']",platform for gamefi nft metaverse based on dao autonomy,other,0,https://ipfs.io/ipfs/Qme3KmS3S212oKTU9tyCQL3kxx5xByK4UMKPT7dqtxxQkd
new order dao,['other'],community led incubation dao building edge of the edge defi products,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/5ETdHxeE_400x400.jpg
celo  dao,"['Protocol', 'Social Impact']",open platform that makes financial tools accessible to anyone with mobile phone,other,0,https://ipfs.io/ipfs/QmeNcmMfUmoW59245qNSXnMFAW4xnWmBC3iG7MNqPF7SUF
moondao,['other'],moondao mission is is to create self sustaining self governing colony on the moon to act as launch point for humanity to explore the cosmos,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/VqeyOfk-_400x400.jpg
epns dao,['Protocol'],world first decentralized notification communication protocol for web,ethereum,119400,https://pbs.twimg.com/profile_images/1390307584112959493/WS50aJSj_400x400.jpg
parachute dao,['other'],parachute dao dao of parachute exploring ideas with crew of crypto builders,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/PDDfDhYE_400x400.jpg
evengov dao,"['DAO Tools', 'other', 'Protocol']",dao that helps genesis teams of established web projects progressively decentralize well,ethereum,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/GSYqvwOB_400x400.png
jpg dao,"['Collector', 'Protocol']",on chain nft curation protocol built on ethereum,ethereum,14600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/I2QXdtpc_400x400.jpg
ricochet exchange dao,"['DAO Tools', 'Investment']",focused on producing novel tools that allow people to invest their crypto assets in real time using superfluid finance framework,ethereum,2300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/zqmGGb0C_400x400.jpg
unifi protocol dao,"['DeFi', 'Protocol']",group of non custodial interoperable decentralized and multi chain smart contracts providing the building blocks for the next generation of defi development,ethereum,32700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/006d92989c257199ba2cf5bf911c0bc7.jpg
mayior capital  dao,['Investment'],turning vision into profit mayior capital is private fund with the main goal of providing entrepreneurs with the tools needed to succeed it has contributed to number of high profile blockchain initiatives through strategic advising and investment we are dedicated to accelerate and improve the development and adoption of blockchain technology,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/-kMkQpeG_400x400.jpg
beetsdao,"['Collector', 'Social', 'Investment']",private global nft collective first formed in the eulerbeats community amongst collaborators who met on discord server with shared passion for the long term power of nfts,ethereum,9700,https://pbs.twimg.com/profile_images/1454067372315197443/LFr6I4Fz_400x400.jpg
the alien boy dao,"['other', 'other', 'other', 'other']",one alien in your wallet is curiosity two are an invasion,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/95cc37120bcdeb58d48bb4076cc48aa0.png
red rock dao,"['DeFi', 'Investment', 'other', 'Venture Capital']",we connect operators industry experts and investors through efficient and scalable funding solutions our community unlocks the potential of secure decentralized governance structure represented by rocs units or tokens to fund scale and share in the profitability of commerce brands we re leading innovative financing solutions to fund brands through decentralized currency and resourceful community every commerce product based business owner deals with the struggles of irregular cashflow patterns they re caught between forecasting the capital needed for inventory and sustainable business expansion and traditional lending institutions with solutions that weren designed for web based business operators are left with major delta between the need for favorable terms in financing and options from these lending services or based lending commerce business owners are web and web native and open to non traditional financing options including cryptocurrency there is an opportunity in the market to both extend short term financing options and aggregate portfolio of commerce and fba businesses through decentralized currency lending and the purchasing power of dao red rock dao is organized as wyoming dao limited liability company,ethereum,0,https://ipfs.io/ipfs/QmSL2X1h1uk26ahSALTw2qKyc61VaySRRstueVMm1Aym3e
ens dao,"['other', 'other', 'other']",our mission is to empower web citizens to interact easily with people organizations and smart contracts through self sovereign identities,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/n-g5dgbN_400x400.png
thewipmeetup dao,['Social'],the longest running metaverse meetup where lightning strikes every thursday at pm pt niftytime nftland production proudly sponsored by prrfbeauty,ethereum,11000,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/Iyc0XM5-_400x400.jpg
eden network dao,['Protocol'],priority transaction network that protects traders from mev commoditizes priority block space and aligns incentives for block producers,ethereum,21400,https://raw.githubusercontent.com/snapshot-labs/snapshot-spaces/master/spaces/tnado.eth/space.png
tornadao,"['other', 'other', 'other']",reserve currency dao focusing on charitable disaster relief contributions,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/0yA2ROgG_400x400.jpg
witnet dao,['DAO Tools'],the decentralized oracle that is true to the censorship resistant nature of blockchains,ethereum,8000,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/9310ff216755bc8c3b4d618b1e4ad4e3.png
talentdao,['other'],decentralize knowledge and unlock talent talentdao is the leading social science research dao and part of the broader decentralized science community we help the dao ecosystem and people in daos thrive,ethereum,0,https://lh3.googleusercontent.com/uDQvdnB0BgZeE7wDp27uwGopM1JELagD5XLvprvjHlhxWceheBBCRCo-XuXOk_EEnmfFHb9WPzkXJujCOSkHo6B0L0n2FgWsRlekkg=s0
moshi mochi dao,"['other', 'other', 'other', 'other']",community dedicated to addressing education and growth in the nft space,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/7-zRzzum_400x400.jpg
rekt dao,['Media'],the dark web of defi journalism telegram http me rekt_hq en français http me rektfr,other,0,https://ipfs.io/ipfs/QmTG7E9VAmPsW7paH8WNd2L45Rn4jUwznFpU5M9DNpRVBo
floordao,['DeFi'],floordao aims to become the largest decentralized nft market maker through the use of protocol owned liquidity and nftx to earn high yields for its treasury floordao is an nft market making protocol it aims to enable deep liquidity for nft collections through the use of protocol controlled value and yield generating strategies starting with nftx vaults,ethereum,4700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/qsOU0pih_400x400.jpg
bankless dao,"['Social', 'Media']",decentralized community with one mission to help the world gobankless by creating user friendly onramps for people to discover decentralized financial technologies through education media and culture bankless is movement for pioneers seeking liberation from the tyranny of the traditional financial system going bankless means adopting decentralized permissionless and censorship resistant technology through these means we will achieve financial self sovereignty security and prosperity banklessdao decentralized autonomous organization that acts as steward of the bankless movement progressing the world towards future of greater freedom mission we will help the world go bankless by creating user friendly onramps for people to discover decentralized financial technologies through education media and culture vision to live in world where anyone with an internet connection has access to the financial tools needed to achieve financial independence values education we learn from each other we seek to become trusted guide that empowers people all over the globe to adopt decentralized finance by sharing accurate truthful and objective information integrity we operate transparently and build trust through radically public discourse and financial auditability decentralized governance we put decision making into the hands of the collective we create legitimacy through an environment where the best ideas win culture we reward action and embrace risk we empower our community to continually drive new initiatives by providing space to self organize and quickly move from idea to action,ethereum,88500,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/apecoin.jpg
apecoin dao,['Social'],apecoin is an erc governance and utility token used to empower decentralized community building at the forefront of web the apecoin community governs itself via the apecoin dao the decentralized governance framework that supports the ecosystem fund the dao follows proposal process to vote on how the ecosystem fund will be distributed by the ape foundation to promote diverse and self sustaining ecosystem this governance guide is an overview of the proposal process it living document that will evolve and improve with the dao community input,other,0,https://ipfs.io/ipfs/QmNpEptyGgK8jjhx52ss5K7W6TPASDHHsQDMro9aP3jWvV
loopring dao,['Operating Systems'],ethereum first zkrollup layer loopring builds protocols infrastructure and user facing products for the future of finance we believe this future is built on ethereum and specifically on layer zkrollups users of decentralized finance defi need not choose between security and performance loopring provides low fee high speed platform for trading swapping liquidity providing and payments without sacrificing ethereum security at all we envision digital economy where users are empowered and always in control of their assets loopring has succeeded in proving that non custodial technology can replicate custodial alternatives in speed cost and experience we have made dexes as performant as cexes and will outcompete incumbent fintech loopring objective is to design and engineer the best in class zkrollup exchange and payment protocol on ethereum and to operate products that bring it to users across the world,other,0,https://ipfs.io/ipfs/QmZ7vYCKEWMS1fQApf776EQ7V7hBrnYpGWdiuVkaqeWpEN
amp dao,['other'],amp is digital collateral token that provides instant verifiable assurance for any real world application,other,0,https://twitter.com/CryptoHipposNFT/photo
cryptohippos nft dao,"['Media', 'Collector']",decentralized voting system for hippo token holders,ethereum,23900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/ijgjNr7e_400x400.jpg
meta gamma delta dao,['Social'],an inclusive and empowering society supporting women led projects meta gamma delta dao is an inclusive and empowering society supporting women led projects in the blockchain space the dao has grown to members and has distributed grants focused on defi nfts crypto education and building for diversity mgd has also launched the fund that will empower fellowship program that will onboard women into web and create opportunities for those looking to work and thrive in this space get in touch via twitter and the mgd website to learn more,ethereum,4600,https://ipfs.io/ipfs/QmUkB4Ffaa82PHkkvDUCTbxabkDwzTdjwAEM8dnaxsVyTw
lydia finance dao,['other'],lydia finance is an automated market maker yield farming staking and launchpad platform on avalanche we aim to leverage avalanche unique features like low gas fees quick finality guaranteed timestamps and combine them with our intuitive ui and fun gamification to lower the average user entry barrier to defi and offer fair marketplace and profitable yield farming for everyone we believe that the best marketing in the crypto space is continuous development our goal is to continuously add useful and profitable features to lydia finance while providing sustainable and innovative defi platform to our users and add more value to the avalanche project,avalanche,10700,https://ipfs.io/ipfs/QmVy6bn7VK4FocYDteBgn45nBTKNHDVmYK6TJttNEmkWiS
illuvinati council dao,"['other', 'other', 'other']",building the next generation in gaming welcome to illuvium soldier on this planet you ll battle and collect nft called illuvials take them with you they are yours as you move through the ranks we made this guide to help newcomers familiarize themselves with the environment here and to help veterans stay up to date with whats going on this is your life and livelihood we re talking about so take your time to understand the mechanics of this planet spend some time learning about tokenomics and you might just leave this planet richer man we ll be updating this as we get more information so come back and stay in touch command built this for you soldier use it wisely,other,0,https://miro.medium.com/max/1200/1*mNyDLP1gELOsQOfkxNlNXA.jpeg
mantra dao,"['other', 'other']",mantra dao aims to leverage crowd wisdom to create community governed transparent and decentralized ecosystem for web,other,0,https://ipfs.io/ipfs/Qman5adWJt6USVLAWXdcqzUtRjc5MrknkrZjFssiqpUzai
wgmi community dao,"['Social', 'DAO Tools']",we re on mission to bring more community professionals to web we re sourcing the most cutting edge community building strategies programming integrations and execution by coordinating dao,other,0,https://ipfs.io/ipfs/QmUAoB8m4axnCxXyXYEB9uLMp9muUt4giD4uHntN8fL52w
ape poo club dao,['Media'],this ain no it the pooverse,ethereum,18200,https://ipfs.io/ipfs/QmW1o8aBojbjptFQDU62iGR5nvXm7WzAj9XQYjuwnqRZ4u
polaris finance dao,['DeFi'],algo stablecoins pegged to near eth btc usdc bnb on aurora the very first algorithmic stablecoins ecosystem on aurora near we are bringing multiple pegged assets to native coins via seigniorage provide liquidity in dawn farms to get spolar governance token that controls inflation and expansion of all pegged assets stake your spolar in sunrise to earn pegged assets,other,0,https://raw.githubusercontent.com/near/ecosystem/main/img/sankore-2.png
sankore 2.0 dao,"['other', 'other', 'other']",sankore is blockchain community building disruptive technologies on near protocol sankore is blockchain community building disruptive technologies on near protocol we educate and nurture talented individuals to become world class blockchain developers together with our partners we excel in blockchain innovations and application sankore was born out of the need to help businesses remain innovative in ever changing business environments we do so by integrating blockchain technology in business operations,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/Tvz6UU5R_400x400.jpg
snapshot labs dao,"['DAO Tools', 'DeFi']",off chain gasless multi governance client with easy to verify and hard to contest results,ethereum,50800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/ODGrHy0P_400x400.jpg
bagels finance dao,['DeFi'],the st cross chain leveraged yield farming protocol multi chain,binance,62900,https://ipfs.io/ipfs/Qmei6cLzWQKHawdcAo8Qf8H4KYYEY4tdHhxZDwrTTGvnSE
tranche finance dao,"['other', 'other', 'other', 'other']",tranche is decentralized protocol for managing defi risk and maximizing returns tranche splits any interest generating asset from the defi ecosystem into two new assets fixed rate asset that manages risk and variable rate asset that maximizes returns,other,0,https://twitter.com/lilnounsdao/photo
lil nouns dao,['Collector'],one lil noun every minutes forever,ethereum,2400,https://ipfs.io/ipfs/Qmct8YHikxYPtkv5bVjtLSWYFUZsE47j2XKrPvaWh6SKjs
cryptoadz grants voting dao,"['other', 'other', 'other', 'other']",cryptoadz by gremplin is cc project way to vote on funding community grants,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/ZINt8NSB_400x400.jpg
tornado cash dao,"['DAO Tools', 'Protocol', 'DeFi']",decentralized non custodial privacy solution built on ethereum,ethereum,63300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/dW8JFRNW_400x400.jpg
convex finance dao,['DeFi'],allows curve fi liquidity providers to earn trading fees and claim boosted crv without locking crv themselves,binance,60900,https://ipfs.io/ipfs/QmeyvbS9k3njWmRmmHiGVuBZ7aafVJUSmy8MyahqjTojfR
boson protocol dao,['Protocol'],web commerce layer the signalling dao is the first step towards being more inclusive and community governed decision making in the form of dao will become progressively more decentralized in governing boson protocol the signalling dao is the genesis dao of boson protocol that will support the token holders in deciding how to build the future of commerce the community will be able to vote on range of topics using snapshot snapshot is voting tool used by daos and similar projects to govern some of the decisions in coordinated manner that remains off chain,ethereum,18300,https://insuretoken.net/images/logo-grey-circle.png
insure defi dao,['DeFi'],world first defi nft metaverse insurance ecosystem with staking power,other,0,https://ipfs.io/ipfs/QmUWidpcRXKhGBvdSwuCpSzwqGA1jXzJY37WZSNMWVSBYR
snoopdao,['DeFi'],snoop dao is fo shizzle decentralized world ubi protocol with the snoop token at its core snoop protocol was inspired by it big homie squid dao,ethereum,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/e365a91ce1cfc003c308c4e313a8c04b.jpeg
bitkeep dao,"['DAO Tools', 'DeFi']",with set of mnemonic phrase you can manage numerous tokens across main chains bitkeep adopts an original and unique desm encryption algorithm to safeguard your digital assets bitkeep is decentralized multi chain crypto wallet dedicated to providing safe and convenient one stop digital asset management services to users around the world we are now serving nearly million users across countries bitkeep has forged partnerships with top chains including polygon matic solana sol binance smart chain bsc ethereum eth heco oec tron fantom ftm wax iost avalanche avax zksync terra luna near and arbitrum and become their official recommended wallet with main chains dapps and cryptos supported bitkeep aims to provide the most convenient and easy to use decentralized portal to users,ethereum,214500,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/xJYRh5SO_400x400.png
kuma inu dao,"['Social', 'DeFi']",community focused decentralized cryptocurrency for breeders,ethereum,47800,https://ipfs.io/ipfs/QmUdv5oKsKS5Ku5qiF5M8yNGmnNZun87a8KPKxDzVwQ7tu
totem.earth dao,['other'],totem dao,ethereum,38800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/0J0boDgP_400x400.jpg
gauntlet dao,"['DAO Tools', 'DeFi']",financial modeling and simulation platform for blockchains,ethereum,16100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/5b5e4aeb2db0c38f75fec64b56a97a18.jpg
parakeet dao,['DAO Tools'],dao for the cross chain metaverse omniverse aggreg cross chain nft utility parakeet bridge easiest omnichain bridge for nfts,ethereum,4900,https://ipfs.io/ipfs/QmUjC6F6sNtECoLE4PtvttF3SgT9mZDVXA3hERtsSS6wgd
holygrail.one dao,"['other', 'other', 'other', 'other']",holygrail one hly on harmony one,other,0,https://twitter.com/warpfinance/photo
warp finance dao,"['other', 'other', 'other', 'other', 'other']",an optimized lending powering liquidity engine,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/rXUu-spA_400x400.jpg
biswap dao,['DeFi'],the first decentralized exchange platform on the market with three type referral system and the lowest platform transaction fees,ethereum,321700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/uivDtBW8_400x400.jpg
dorkis dao,['Collector'],collection of nft dorks,ethereum,6800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/-F971H0X_400x400.jpg
