,Dao_title,categories,about,simdaos,chain
140,DAOHQ - Coinvise DAO,"['DAO Tools', 'Social']","Token-based communities
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '14.7K']"
141,DAOHQ - CoreDAO,"[' coredao.org/community.html Discord  Whitepaper ', ' coredao.org/community.html', ' Discord ', ' Whitepaper ']","CoreDAO - the official decentralized org developing the Satoshi Plus ecosystem. We are building web3 infrastructure & promoting public chains on Bitcoin’s PoW.
",[],['16.1K']
142,DAOHQ - LexDAO,['Service'],"The Decentralized Legal Engineering Guild
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '13.6K']"
143,DAOHQ - MASK DAO,"['DAO Tools', 'Service']","Mask Network aims to bridge the Web 2.0 users to Web 3.0.
 Mask Network brings privacy and benefits from Web3 to social media like Facebook & Twitter - with an open-sourced browser extension.
By bringing the amazing decentralized application ecosystem onto traditional social networks, the Mask extension provides a decentralized option for features Web 2.0 users are familiar with. Users could enjoy secure, decentralized social messaging, payment networks, file storage, and file sharing without leaving the mainstream social media networks. Users could get a glimpse of the magic of the Web 3.0 world in an easy and effortless way.We at Mask Network are strong believers in the ownership economy. People should own what they produce, their data, their attention, and the virtual space they choose to contribute to. And we hereby invite everyone who sees this message to join us in the course of regaining control of our personal data.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '19.5K']"
144,DAOHQ - Curio Cards DAO,"[' curio.cards Discord  Twitter ', ' curio.cards', ' Discord ', ' Twitter ']","The First Art NFTs on Ethereum
 Curio Cards is the First Art NFT project on Ethereum, launched as an online gallery art show on May 9, 2017. Curio used the distributed network Ethereum to create a new model for creation and ownership of digital artwork — a model that allows digital artists to create unique pieces of rare collectible art, get directly paid for their work, and interact with collectors in entirely new ways. Today, this has become an entire field of digital art popularly known as NFTs.
Curio Cards is a collection of digital art numbered from 1 to 30, featuring artwork from seven different artists. Each numbered series has unique artwork and a fixed supply of digital prints, ranging in supply from 111 to 2154 Cards. There are a total of 29.7k Cards, with an estimated 4k currently lost or destroyed. All Curio Cards were created in 2017, and no more can ever be created.
",['About'],['10.3K']
145,DAOHQ - Layer2DAO,['Investment'],"Layer2DAO is expanding the Ethereum L2 ecosystem and investing in L2 ecosystem projects
 Layer2DAO is expanding the Ethereum L2 ecosystem and investing in L2 ecosystem projects. The DAO uses its treasury to invest into high-impact L2 protocols and ecosystem plays, serving as a diversified venture fund for investors looking to gain exposure to the L2 ecosystem growth. It also provides liquidity, depositing, and staking, perpetually reinvesting proceeds back into the DAO.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']",['4.1K']
146,DAOHQ - mutiDAO,"['Social', 'Media']","A collective using blockchain technology & community building to nurture creativity
 muti cares for artists, in the physical and digital realm by working with the blockchain technology and community building. | collective and DAO based in PT
","['1Hive', '8DAO', '4k', 'ACryptoS']","['NEAR', '199.0']"
147,DAOHQ - MorpheusSwap DAO,"[' morpheusswap.finance Discord  Twitter ', ' morpheusswap.finance', ' Discord ', ' Twitter ']","Decentralized swap and farming protocol, Powered by #Fantom. Ready to take the Red pill? Morpheus Swap is a DEX on Fantom offering low swap fees and high revenue share.
",[],['1.9K']
148,DAOHQ - RADARDao,"[' www.radardao.xyz Discord  Twitter ', ' www.radardao.xyz', ' Discord ', ' Twitter ']","The first community owned and powered futures engine, discovering, incubating, and delivering better futures.
",[],[]
149,DAOHQ - Jenny Metaverse DAO,['Collector'],"Building a top collection of NFT assets in the metaverse
Jenny DAO is a joint contemporary art collection where you are a visitor, user, and director at the same time!
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '21.9K']"
150,DAOHQ - Collar Informer DAO,['Gaming'],"CollarQuest will be a fun and engaging game
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '2.8K']"
151,DAOHQ - Pickle Finance DAO,['Protocol'],"The Future of Finance is Green | Join the Discord: http://discord.gg/pickle-finance | $PICKLE
 
Pickle Finance is a yield aggregator that compounds LPs across various chains.
Users realize the power of compounding, while saving time and money compared to
manual farming. Pickle Finance has Jars, and Farms. Jars compound returns from
other protocols, creating a pToken. Farms provide extra Pickle rewards for
staking a jars $pToken.


The Pickle Protocol is governed by $DILL holders (users that stake $PICKLE) who
are able to create and vote on proposals for changes to the protocol. $DILL
holders also get to share in 45% of protocol revenues, as well as boost the
$PICKLE rewards on their farms.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '34.2K']"
152,DAOHQ - Bright Union DAO,"[' ion.io Discord  Twitter ', ' ion.io', ' Discord ', ' Twitter ']","#DeFi Insurance Marketplace. Protect your assets against hacks, scams and protocol failures.
 #DeFi Insurance Marketplace. Protect your assets against hacks, scams and protocol failures.
",[],[]
153,DAOHQ - Longtail Financial  DAO,"['DAO Tools', 'DeFi']","Help organizations build and optimize crypto-economic systems
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '582.0']"
154,DAOHQ - UkraineDAO,['Social Impact'],"Using the power of Web3 tech & community to defend Ukraine.
 
We have donated over $7 million, including to the Ukrainian government and organizations like Come Back Alive . More info - in Multisig & Treasury - UkraineDAO.eth
We organized both online and offline to serve Ukraine and show how charity, war relief, and evacuation efforts can be organized through DAOs. Learn more in Ukraine DAO Trucks
The Ukrainian flag NFT auctioned by Ukraine DAO is the tenth most expensive NFT ever sold, showing how non-fungible tokens can solve real-life problems.
Ukraine DAO has been featured in many major publications, including ABC, Billboard, Coindesk, The Guardian, Financial Times, The Economist, Rolling Stones, VICE, and Wall Street Journal. Check out selected articles and podcasts in Ukraine DAO In The Media.

","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']",['Ethereum']
155,DAOHQ - Umbrella Network DAO,['Service'],"Umbrella is the first truly decentralized oracle service providing low cost, massively scalable, and secure solutions for smart contracts
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Binance', '18.9K']"
156,DAOHQ - MoonbeamDAO,"['Collector', 'Media']","MoonDao is the first community Art Collection DAO on the Moonbeam network
 We aim to utilize input from our community to select high-end NFT’s. These NFT’s will be acquired with the MoonDao treasury and stored in the MoonDao Vault. Moon ownership grants access to DAO voting rights, future events, and additional holder perks outlined below. Welcome to the moon, we hope you stay.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",['173.0']
157,DAOHQ - Rocket DAO,['Investment'],"Venture community where digital startups get expert support, grow and meet investors who suit their needs.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '2.3K']"
158,DAOHQ - DODO DAO,['DeFi'],"On-chain decentralized exchange/liquidity provider for everyone, powered by the Proactive Market Making (PMM) algorithm
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '169.8K']"
159,DAOHQ - PageDAO,['Social Impact'],"Our mission at PageDAO is to unite all authors, readers and creatives in the literary metaverse
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Ethereum', '1.8K']"
160,DAOHQ - Agave Finance DAO,['DeFi'],"A decentralized, non-custodial money market and lending protocol on xDai
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '5.4K']"
161,DAOHQ - X DAO,"['Social', 'Gaming', 'Service', 'Collector']","The X will be the first currency in history with a fair distribution. It can be used as a medium of exchange, governance token, or purely for speculation however its main purpose is to compete with centralized currencies like bitcoin/usd/yuan.
 Uniswap created the first user friendly dex. Sushiswap gave control of it’s DAO to the richest addresses. The Great Reset gives control back to the community by using a reputation token for governance that must be earned for verified work on our jobs marketplace.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Fantom', '2.1K']"
162,DAOHQ - TrueFi DAO,['DeFi'],"TrueFi brings collateral-free lending on-chain, maximizing capital efficiency for borrowers and earning rates for lenders.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['26.6K']
163,DAOHQ - FeistyDAO,['Social'],"Own a piece of the Feisty Doge NFT The 1st fractionalized NFT with a DAO
 Each $NFD token represents a tiny fraction of the Feisty Doge NFT.
When you own $NFD, you own a part of internet history and you become
a member of the FeistyDAO.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '3.4K']"
164,DAOHQ - PhilosophyDAO,"[' learn-web3.xyz Discord  Twitter ', ' learn-web3.xyz', ' Discord ', ' Twitter ']","GameFi on Ethereum Layer2
",[],['4.3K']
165,DAOHQ - SpartacadabraDAO,"[' spartacadabra.money Discord  Twitter ', ' spartacadabra.money', ' Discord ', ' Twitter ']","Spartacadabra unlocks yield bearing assets and conjures magic crypto money Lambda (λ).
",[],[]
166,"DAOHQ - Cyb,Ai DAO",['Service'],"Deferential, sexy and efficient interface for the cyber protocol which answers questions (like a search engine) better and faster than Google.
 Github: https://github.com/cybercongress/cyb
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '3.9K']"
167,DAOHQ - mStable DAO,"['DeFi', 'Protocol']","Building autonomous and non-custodial stablecoin infrastructure
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '34.5K']"
168,DAOHQ - Chainspace DAO,"['DAO Tools', 'Social', 'Media']","Sharded, scalable, parallelizable smart contract blockchain platform
","['88mph', 'APY Vision', '0x', '1inch Network']","['Binance', '1.4K']"
169,DAOHQ - LeagueDao,"['DeFi', 'Protocol']","LeagueDAO is a decentralized open source project building tokenized fantasy sports.
 LeagueDAO is owned and operated by a community of misfits — degens, nerds, sports fans, and athletes — fed up with old school fantasy sports and motivated to push the boundaries of NFTs and web3 technology. Our members are collectively driving decisions to shape the future of fantasy gaming, from IRL sports to esports and more.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '9.4K']"
170,DAOHQ - CoinSwap Space DAO,"['DeFi', 'Protocol']","The CoinSwap is a suite of products in Decentralized Finance
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '48.1K']"
171,DAOHQ - IoTeX DAO,['DAO Tools'],"Builds the next-gen decentralized platform for the Internet of Things(IoT), to give rights back to users on their data, to comply with global privacy regulations like GDPR and CCPA, and to build the new businesses on top of user-owned data
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '230.7K']"
172,DAOHQ - Echelon Foundation DAO,"['Gaming', 'Social']","a non-profit focused on developing the next generation of gaming and Play-to-Earn (P2E) economies
 PRIME, the native asset of Echelon, is an ERC-20 token with a fixed supply of 111,111,111.111. The token is currently non-transferrable and not tradable, and usable only in allow-listed addresses for governance and other utility.
","['About', 'Aurory', 'Blockade Games', 'Collar Informer', 'BreederDAO']","['Ethereum', '991.0']"
173,DAOHQ - GnosisDAO,['Protocol'],"GnosisDAO is a collective that uses Gnosis products to transparently guide decisions on development, support, and governance of its token ecosystem.
 GnosisDAO transparently guides decisions on development, support, and governance of its GNO token ecosystem. Start your proposal here: https://forum.gnosis.io
","['Aave', 'ARCx', 'APWine', 'API3']",['Ethereum']
174,DAOHQ - Metaphor DAO,"['DAO Tools', 'DeFi', 'Social']","Provides ease of participation in the DAO
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '1.2K']"
175,DAOHQ - Wolf Works DAO,['Investment'],"Wolf Works is an investment DAO that builds wealth for its $WLD holders through a portfolio of acquired assets and product offerings.
 Wolf Works DAO (WLD) is an organization on a mission to ethically build wealth for its members and to always serve their best interest. WLD utilizes blockchain technology to allow its members to securely govern and manage the organization’s portfolio. WLD was built as a platform that gives every member a collective voice, additional benefits, and an investing community that both represents them and serves their best interests.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Polygon', '1.5K']"
176,DAOHQ - BadgerDAO,['DeFi'],"BadgerDAO makes it easy to put your Bitcoin to work in DeFi today
 Badger is a decentralized autonomous organization (DAO) focused on building the products and infrastructure necessary to accelerate the growth of Bitcoin in Decentralized Finance (DeFi) across multiple blockchains.
Specifically, it is an ecosystem where projects and people from across all DeFi can come together to collaborate and build different products. Shared ownership in the DAO incentivizes builders to have aligned objectives. Whilst decentralized governance ensures that those incentives remain fair to all parties and that the projects pursued are determined by the community.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '12.0K']"
177,DAOHQ - WhalesDAO,['Collector'],"Find value project
 on-chain data
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",[]
178,DAOHQ - DirtDAO,"[' dirt.fyi Discord  Twitter ', ' dirt.fyi', ' Discord ', ' Twitter ']","A daily(ish) newsletter about digital pop culture and entertainment
 Every week we send out multiple insightful short essays on topics like streaming, TikTok, video games, and web3, from a rotating group of critics. New York Magazine said, “It’s like getting a note about something interesting from a smart friend.”
",[],['611.0']
179,DAOHQ - Glide Finance DAO,['DeFi'],"Community-driven, trader-focused DEX and DeFi hub powered by $ELA with governance by $GLIDE
 Glide Finance is a Decentralized Exchange / Automated Market Maker, Yield Farming, and Staking platform running on the Elastos Smart Chain (ESC) that aims to accelerate adoption of the Elastos ecosystem by acting as a source of liquidity for users and the projects built on it. We’re invested in building a strong foundation with our GLIDE token as a governance token, diverse farms, a built in bridge, and more features down the line.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['982.0']
180,DAOHQ - Dfyn Network DAO,"['DeFi', 'Protocol']","Multi-chain AMM DEX that is built to be an inter-connected AMM with nodes spread on different blockchains and those AMMs will be able to share liquidity and enable cross-chain swaps
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '41.4K']"
181,DAOHQ - Kyve DAO,['Protocol'],"Protocol that enables data providers to seamlessly store and reliably verify their data streams
","['Aave', 'ARCx', 'APWine', 'API3']",['139.2K']
182,DAOHQ - Crown Capital DAO,"['DeFi', 'Gaming']","Crown Capital is focused on direct investment and maximizing yield from its portfolio of income producing assets in top gaming economies
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '1.6K']"
183,DAOHQ - Altruism Protocol DAO,"['DAO Tools', 'Protocol']","Altrucoin is a Defi as a Service platform building a more decentralized DeFi lending protocol that supports holders and charitable causes around the world.
 The Altruism Protocol is an ecosystem of decentralized applications building a DeFi lending platform for all tokens. The protocol brings together an existing multi-dapp ecosystem, trustless defi lending, a modern utility token, charitable donations, and decentralized governance.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Binance', '6.2K']"
184,DAOHQ - HERSTORY DAO,['Collector'],"an on//offline art collective dedicated to preserving and incubating the stories of marginalized crypto creators
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '7.6K']"
185,DAOHQ - Maker DAO,"['Investment', 'DeFi', 'Protocol']","Creating the world’s first unbiased currency.
","['About', 'AngelDAO', '8DAO', '80Acres DAO', 'Alpha Finance Lab']",['14.4K']
186,DAOHQ - Cyclone Protocol DAO,['DeFi'],"Cyclone is a protocol that applies zkSNARKs to enable transactional privacy by breaking the on-chain link between depositor and recipient addresses.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",[]
187,DAOHQ - FTX DAO,['DeFi'],"Crypto Derivatives Exchange for traders by traders.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '700.8K']"
188,DAOHQ - Spectral Skellies DAO,"['Collector', 'Social']","NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '6.1K']"
189,DAOHQ - Koios DAO,['Social'],"The open learning infrastructure  A place to learn and earn for students all over the world. 1000+ students have enrolled through The Hague University!
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.8K']
190,DAOHQ - SlackerDAO,['Collector'],"DAO for SlackerDuck holders
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '9.1K']"
191,DAOHQ - BlackPool DAO,"['DeFi', 'Investment']","A new fund operating within the NFT industry: managing a range of assets from sports cards to game items to digital art.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '25.6K']"
192,DAOHQ - Benchmark Protocol DAO,"['Protocol', 'DeFi']","A Decentralized Supply Elastic Digital Currency Built on the Chainlink Keeper Network
 Meet the MARK token, supply elastic token that adjusts supply on a daily basis to meet demand
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '2.6K']"
193,DAOHQ - Braintrust DAO,['Social'],"The first decentralized talent network
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '162.8K']"
194,DAOHQ - APY Vision DAO,"['DAO Tools', 'DeFi']","All-in-one liquidity pool analytics and yield farming rewards tracking tool
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '27.9K']"
195,DAOHQ - Cubo DAO,['0x381d1...3dfe4'],"We’re building high-yield, sustainable, liquidity-owning #polygon nodes with full transparency.
",[],['11.4K']
196,DAOHQ - CoinBurp DAO,"['DeFi', 'Protocol']","Crypto trading platform on Trustpilot UK
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '68.2K']"
197,DAOHQ - Ponto  DAO,['DeFi'],"Exchange and liquidity API
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '298.0']"
198,DAOHQ - UnknownDAO,['Social'],"Your cyber-home:A DAO to facilitate whole and free Individuals. We help people look inside to better achieve outside.
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.8K']
199,DAOHQ - Colony DAO,['DAO Tools'],"The best way to build your DAO.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '23.6K']"
200,DAOHQ - APE DAO,['Collector'],"APE DAO started with the fractionalization (token partition) of 50 valuable NFTs into APED erc-20 tokens, which serve holders governance over their NFTs. General governance is currently token-barred, moving towards community rule.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '14.3K']"
201,DAOHQ - Gelato Network DAO,"['DAO Tools', 'DeFi']","Automated smart contract executions on Ethereum
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '48.9K']"
202,DAOHQ - AnubisDAO,['Social'],"A unique protocol built on KCC; features a dynamic buy back along with a dynamic sell tax, both depending on slippage
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '12.2K']"
203,DAOHQ - KitPics DAO,['Collector'],"NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '1.3K']"
204,DAOHQ - buildspace DAO,"['DAO Tools', 'Social']","The ability to create cool things right now, earn NFT, get access to secret cryptocurrency opportunities
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '190.4K']"
205,DAOHQ - Frax Finance DAO,['Protocol'],"The first fractional-algorithmic stablecoin protocol with an end goal of providing a highly scalable, decentralized, algorithmic money in place of fixed-supply digital assets like BTC.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '66.7K']"
206,DAOHQ - Opium DAO,['Protocol'],"A universal and robust protocol that allows for creating, settling, and trading any decentralised derivative
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '12.0K']"
207,DAOHQ - Cross-Chain Capital DAO,['DeFi'],"Community-Led Investment DAO
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '3.7K']"
208,DAOHQ - AOICARD DAO,"[' aoicard.art Twitter ', ' aoicard.art', ' Twitter ']","Use our cryptography illustrations freely; If you would like to be part of #AOICARD, #NFT is also available for you and also 4k.🤝
",[],[]
209,DAOHQ - Akropolis DAO,"['DeFi', 'Protocol']","DeFi yield on autopilot
 Akropolis is a company that operates an Ethereum-based decentralized finance protocol that seeks to provide an autonomous financial ecosystem for saving and growing wealth, including through borrowing and lending.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '56.2K']"
210,DAOHQ - Pathfinders DAO,['DeFi'],"DAO for community of crypto earning learners
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '824.0']"
211,DAOHQ - BProtocol DAO,['Protocol'],"BProtocol offers liquidity backstops for DeFi protocols - incentivized pool-collateralization of specific undercollateralled loans, which allows more leverage for protocols’ general pools.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '9.1K']"
212,DAOHQ - Set Protocol DAO,['DeFi'],"An Ethereum-native DeFi primitive that leverages existing Open Finance protocols to allow for the bundling of crypto-assets into fully collateralised baskets, which are represented as ERC20 tokens on the Ethereum blockchain
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '52.9K']"
213,DAOHQ - Coffee Junkie Club DAO,"[' coffeejunkieclub.com Discord  Twitter ', ' coffeejunkieclub.com', ' Discord ', ' Twitter ']","A club where like minded individuals can come together over coffee.
 In the world where technology makes us feel even more isolated, we decided to create a project that will be focused on community. We can all agree that a good cup of coffee comes pretty darn close to a nice big hug. So here’s a hug from us to you with 6,000 uniquely brewed coffee junkies.
",[],['8.0K']
214,DAOHQ - dForce DAO,"['DAO Tools', 'Protocol', 'DeFi']","Advocates for building an integrated and interoperable open finance protocol matrix covering lending (global liquidity pool, yield markets), assets (stablecoin, synthetic asset, etc), and trading (liquidity aggregator, AMM)
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '17.6K']"
215,DAOHQ - Tempus DAO,"['DeFi', 'Investment']","A future yield tokenization and fixed rate protocol
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '16.6K']"
216,DAOHQ - Bao Finance DAO,['DeFi'],"Our mission is to build an open platform for synthetic tokens that represent any data
 Bao (包) stands for a treasure or package. Something wonderful that is wrapped up in another layer. Bao buns, or in Chinese Baozi (包子) are delicious wrapped dumplings. These bao buns are the tradition of taking something good that exists, and wrapping it up into being a new treasure. Bao Finance aims to do this by being a new protocol that adds features to existing DeFi systems.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '12.9K']"
217,DAOHQ - Bitnomial DAO,['DeFi'],"Improved derivatives exchange technology coupled with new digital asset settlement systems
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Bitcoin', '424.0']"
218,DAOHQ - Stabilize DAO,['DeFi'],"Borrow $SUSD against Basic Assets & Interest-Bearing Asset at 0% interest.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '411.0']"
219,DAOHQ - UnlockProtocol DAO,"['DAO Tools', 'Social', 'Media']","Ʉnlock is an open source protocol for memberships as NFTs
 There are many ways to think about Decentralized Autonomous Organizations. One way to think of it is as a system are working together toward a shared goal, by leveraging the internet and its networks as their main collaboration tool.
For the Unlock DAO, the participants are anyone who owns our governance token (or, as anyone who uses the protocol can earn some, anyone who used the protocol, even only once)
Similarly, the goal is the development of the protocol. This includes the technical aspects (writing new features in the core contracts), but also the marketing aspects (promoting the protocol), or even operational ones around the DAO itself.
The tools we use are the UDT tokens to get started, as the way to establish voting, but also a brand new Governance contract. The Governance Contract uses OpenZeppelin’s libraries (see our code) and sets the process through which the DAO makes decision. To get started, we set a few defaults for these rules, but they can be altered by the community.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '15.9K']"
220,DAOHQ - Multis DAO,"['DAO Tools', 'DeFi']","Business wallet for crypto-native companies
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '3.7K']"
221,DAOHQ - NFT20 DAO,"['Social Impact', 'DeFi']","A permissionless p2p protocol to tokenize NFTs and make them tradable on decentralized exchanges such as UniSwap or Sushiswap
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Ethereum', '14.6K']"
222,DAOHQ - MCN Ventures DAO,"['DeFi', 'Grant']","For decisions about farming MCN
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['672.0']
223,DAOHQ - Raid Guild DAO,['Service'],"A Decentralized Collective of Mercenaries Ready to Slay Your Web3 Product Demons.
 We believe that DAOs will power the future of work. Through the MetaCartel network, we assembled a fellowship of the best builders, designers and hustlers in the space in order to make this future a reality. By sharing resources, branding and collaboration tools, we can create positive-sum value for the Ethereum ecosystem in a way that has never been possible before the advent of DAOs.
We believe in Web3 and are here to build it, use it, and propogate it. The profits from our work will be used to fund development of open source tooling and public goods. We will share the learnings from our experiments and open source our processes for the community to learn and build from.
“If you want to go fast, go alone. If you want to go far, go together.”
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '10.5K']"
224,DAOHQ - Yup DAO,['Social'],"Curate and share content across the web. Earn money and clout for your taste
","['1Hive', '8DAO', '4k', 'ACryptoS']",['Ethereum']
225,DAOHQ - DoinGud DAO,"['Service', 'Social Impact']","DoinGud is an NFT ecosystem empowering creators, collectors, curators, and communities to do good  We are hiring!
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '29.1K']"
226,DAOHQ - EventDAO,"['DAO Tools', 'Media', 'Metaverse', 'Social', 'Social Impact']","EventDAO brings the world’s largest events, concerts into a decentralized space and shares event profits with the Community.🌍🎫
 EventDAO aims to create sustainable and profitable events that are voted by the DAO and implements blockchain solutions into the IRL entertainment industry.
With awarded advisors and angel investors behind our team, we have producers who worked with the artists such as Travis Scott, Drake, and Juice WRLD on our EventDAO Artist List.
","['88mph', 'APY Vision', '0x', '1inch Network']",['Ethereum']
227,DAOHQ - Project Galaxy DAO,"['DAO Tools', 'Service']","Building a permissionless infrastructure that powers on-chain credentials with plug-and-play NFT modules
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '748.0K']"
228,DAOHQ - Revenant DAO,"[' revenant.gg Discord  Twitter ', ' revenant.gg', ' Discord ', ' Twitter ']","The first decentralized gaming ecosystem on the #Metis network. Play. Earn. Invest.
",[],['10.2K']
229,DAOHQ - Flamingo DAO,"['Collector', 'Investment']","A flamboyance of NFT collectors, curators, and artists
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '49.5K']"
230,DAOHQ - HOPR Genesis DAO,"['DAO Tools', 'Social Impact']","We’re building a private internet for everyone.
 HOPR’s decentralized, incentivized mixnet obscures all metadata, including IP addresses, making it impossible to tell anything about who is communicating and what data they’re sending. HOPR is at the forefront of decentralized governance. The fair launch of the HOPR token was entirely community-driven, with 100% of raised funds remaining under control of the DAO. Regular governance experiments further research into effective governance techniques which balance the interests of small and large token holders.
","['About', '0x', 'APY Vision', '88mph', '1inch Network']","['Ethereum', '9.5K']"
231,DAOHQ - Radicle DAO,['Social'],"Radicle is a community-governed coding network that facilitates collaborative coding in a permissionless, creator-owned, interactive environment, with designated development tools.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '37.8K']"
232,DAOHQ - FamilyParty DAO,"['Gaming', 'Metaverse']","A platform for Gamefi & NFT & Metaverse, based on DAO autonomy
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']",[]
233,DAOHQ - New Order DAO,['0x98585...37d96'],"A community-led incubation DAO building edge-of-the-edge DeFi products.
",[],['937.0']
234,DAOHQ - Celo  DAO,"['Protocol', 'Social Impact']","Open platform that makes financial tools accessible to anyone with a mobile phone
","['Aave', 'ARCx', 'APWine', 'API3']",['417.0K']
235,DAOHQ - MoonDAO,['0x20d4d...41395'],"MoonDAO’s mission is is to create a self-sustaining, self-governing colony on the Moon to act as a launch point for humanity to explore the cosmos.
",[],[]
236,DAOHQ - EPNS DAO,['Protocol'],"World’s First Decentralized Notification (communication) Protocol for Web3.0
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '119.4K']"
237,DAOHQ - Parachute DAO,['0x1beef...cee06'],"Parachute DAO
 DAO of Parachute - exploring ideas with a crew of crypto builders
",['About'],['2.1K']
