Unnamed: 0,Dao_title,categories,about,simdaos,chain,keyphrases,new_keyphrases
170,DAOHQ - CoinSwap Space DAO,"['DeFi', 'Protocol']","The CoinSwap is a suite of products in Decentralized Finance
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '48.1K']",['suite' 'coinswap' 'products' 'finance'],['CoinSwap' 'Decentralized Finance']
171,DAOHQ - IoTeX DAO,['DAO Tools'],"Builds the next-gen decentralized platform for the Internet of Things(IoT), to give rights back to users on their data, to comply with global privacy regulations like GDPR and CCPA, and to build the new businesses on top of user-owned data
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '230.7K']","['data' 'gen' 'users' 'top' 'new businesses' 'ccpa' 'user' 'platform'
 'things(iot' 'global privacy regulations' 'gdpr' 'rights' 'internet']","['CCPA' 'GDPR' 'Internet of Things' 'decentralized platform'
 'global privacy regulations']"
172,DAOHQ - Echelon Foundation DAO,"['Gaming', 'Social']","a non-profit focused on developing the next generation of gaming and Play-to-Earn (P2E) economies
 PRIME, the native asset of Echelon, is an ERC-20 token with a fixed supply of 111,111,111.111. The token is currently non-transferrable and not tradable, and usable only in allow-listed addresses for governance and other utility.
","['About', 'Aurory', 'Blockade Games', 'Collar Informer', 'BreederDAO']","['Ethereum', '991.0']","['supply' 'allow' 'economies' 'addresses' 'governance' 'prime' 'gaming'
 'other utility' 'next generation' 'echelon' 'native asset' 'p2e' 'token'
 'earn' 'non - profit']",['Echelon' 'PRIME' 'gaming' 'governance' 'utility']
173,DAOHQ - GnosisDAO,['Protocol'],"GnosisDAO is a collective that uses Gnosis products to transparently guide decisions on development, support, and governance of its token ecosystem.
 GnosisDAO transparently guides decisions on development, support, and governance of its GNO token ecosystem. Start your proposal here: https://forum.gnosis.io
","['Aave', 'ARCx', 'APWine', 'API3']",['Ethereum'],"['governance' 'gnosis products' 'support' 'ecosystem' 'development'
 'https://forum.gnosis.io' 'proposal' 'gnosisdao' 'decisions'
 'token ecosystem' 'gno' 'collective']",['GnosisDAO' 'governance' 'token ecosystem']
174,DAOHQ - Metaphor DAO,"['DAO Tools', 'DeFi', 'Social']","Provides ease of participation in the DAO
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '1.2K']",['participation' 'dao' 'ease'],[]
175,DAOHQ - Wolf Works DAO,['Investment'],"Wolf Works is an investment DAO that builds wealth for its $WLD holders through a portfolio of acquired assets and product offerings.
 Wolf Works DAO (WLD) is an organization on a mission to ethically build wealth for its members and to always serve their best interest. WLD utilizes blockchain technology to allow its members to securely govern and manage the organization’s portfolio. WLD was built as a platform that gives every member a collective voice, additional benefits, and an investing community that both represents them and serves their best interests.
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Polygon', '1.5K']","['investing community' 'investment dao' 'member' 'additional benefits'
 'technology' 'organization' 'product offerings' 'wld' 'mission' 'wealth'
 'platform' 'assets' 'best interests' 'wolf works' 'best interest'
 'portfolio' 'wld holders' 'collective voice' 'wolf works dao' 'members']","['Wolf Works' 'acquired assets' 'blockchain technology'
 'investing community' 'investment DAO']"
176,DAOHQ - BadgerDAO,['DeFi'],"BadgerDAO makes it easy to put your Bitcoin to work in DeFi today
 Badger is a decentralized autonomous organization (DAO) focused on building the products and infrastructure necessary to accelerate the growth of Bitcoin in Decentralized Finance (DeFi) across multiple blockchains.
Specifically, it is an ecosystem where projects and people from across all DeFi can come together to collaborate and build different products. Shared ownership in the DAO incentivizes builders to have aligned objectives. Whilst decentralized governance ensures that those incentives remain fair to all parties and that the projects pursued are determined by the community.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '12.0K']","['governance' 'objectives' 'bitcoin' 'parties' 'products' 'badgerdao'
 'dao' 'people' 'decentralized finance' 'defi today' 'projects' 'growth'
 'community' 'incentives' 'ownership' 'autonomous organization'
 'infrastructure' 'ecosystem' 'multiple blockchains' 'different products'
 'defi' 'builders' 'badger']","['BadgerDAO' 'Bitcoin' 'Decentralized Finance' 'Shared ownership'
 'decentralized autonomous organization' 'decentralized governance']"
177,DAOHQ - WhalesDAO,['Collector'],"Find value project
 on-chain data
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",[],['value project' 'chain data'],['project']
178,DAOHQ - DirtDAO,"[' dirt.fyi Discord  Twitter ', ' dirt.fyi', ' Discord ', ' Twitter ']","A daily(ish) newsletter about digital pop culture and entertainment
 Every week we send out multiple insightful short essays on topics like streaming, TikTok, video games, and web3, from a rotating group of critics. New York Magazine said, “It’s like getting a note about something interesting from a smart friend.”
",[],['611.0'],"['group' 'streaming' 'something' 'tiktok' 'entertainment' 'week'
 'video games' 'new york magazine' 'daily(ish' 'note'
 'multiple insightful short essays' 'newsletter' 'smart friend' 'topics'
 'digital pop culture' 'critics' 'web3']",['TikTok' 'digital pop culture' 'streaming' 'video games' 'web3']
179,DAOHQ - Glide Finance DAO,['DeFi'],"Community-driven, trader-focused DEX and DeFi hub powered by $ELA with governance by $GLIDE
 Glide Finance is a Decentralized Exchange / Automated Market Maker, Yield Farming, and Staking platform running on the Elastos Smart Chain (ESC) that aims to accelerate adoption of the Elastos ecosystem by acting as a source of liquidity for users and the projects built on it. We’re invested in building a strong foundation with our GLIDE token as a governance token, diverse farms, a built in bridge, and more features down the line.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['982.0'],"['defi hub' 'governance' 'dex' 'glide finance' 'users' 'diverse farms'
 'automated market maker' 'decentralized exchange' 'ela' 'more features'
 'glide' 'projects' 'strong foundation' 'community' 'bridge' 'platform'
 'trader' 'source' 'elastos smart chain' 'elastos ecosystem' 'line'
 'adoption' 'yield farming' 'liquidity' 'esc']","['Elastos Smart Chain' 'Fi hub' 'GLIDE token' 'Glide Finance'
 'Staking platform' 'Yield Farming' 'built in bridge' 'diverse farms'
 'governance token' 'liquidity']"
180,DAOHQ - Dfyn Network DAO,"['DeFi', 'Protocol']","Multi-chain AMM DEX that is built to be an inter-connected AMM with nodes spread on different blockchains and those AMMs will be able to share liquidity and enable cross-chain swaps
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '41.4K']","['cross - chain swaps' 'inter - connected amm' 'liquidity' 'amms' 'nodes'
 'multi - chain amm dex' 'different blockchains']",['liquidity']
181,DAOHQ - Kyve DAO,['Protocol'],"Protocol that enables data providers to seamlessly store and reliably verify their data streams
","['Aave', 'ARCx', 'APWine', 'API3']",['139.2K'],['data streams' 'data providers' 'protocol'],['data providers' 'data streams']
182,DAOHQ - Crown Capital DAO,"['DeFi', 'Gaming']","Crown Capital is focused on direct investment and maximizing yield from its portfolio of income producing assets in top gaming economies
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '1.6K']","['top gaming economies' 'crown capital' 'portfolio' 'yield'
 'direct investment' 'income' 'assets']",['Crown Capital' 'direct investment' 'top gaming economies']
183,DAOHQ - Altruism Protocol DAO,"['DAO Tools', 'Protocol']","Altrucoin is a Defi as a Service platform building a more decentralized DeFi lending protocol that supports holders and charitable causes around the world.
 The Altruism Protocol is an ecosystem of decentralized applications building a DeFi lending platform for all tokens. The protocol brings together an existing multi-dapp ecosystem, trustless defi lending, a modern utility token, charitable donations, and decentralized governance.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Binance', '6.2K']","['altrucoin' 'governance' 'service platform' 'charitable causes'
 'ecosystem' 'modern utility' 'defi lending platform' 'applications'
 'multi - dapp ecosystem' 'tokens' 'charitable donations' 'protocol'
 'world' 'holders' 'decentralized defi lending protocol' 'defi'
 'altruism protocol' 'trustless defi lending']","['Altrucoin' 'Altruism Protocol' 'charitable donations'
 'decentralized DeFi lending protocol' 'decentralized applications'
 'decentralized governance' 'trustless defi lending' 'utility token']"
184,DAOHQ - HERSTORY DAO,['Collector'],"an on//offline art collective dedicated to preserving and incubating the stories of marginalized crypto creators
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '7.6K']",['crypto creators' 'stories' 'on//offline art collective'],['marginalized crypto creators']
185,DAOHQ - Maker DAO,"['Investment', 'DeFi', 'Protocol']","Creating the world’s first unbiased currency.
","['About', 'AngelDAO', '8DAO', '80Acres DAO', 'Alpha Finance Lab']",['14.4K'],['first unbiased currency' 'world'],['unbiased currency']
186,DAOHQ - Cyclone Protocol DAO,['DeFi'],"Cyclone is a protocol that applies zkSNARKs to enable transactional privacy by breaking the on-chain link between depositor and recipient addresses.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",[],"['chain link' 'depositor' 'protocol' 'cyclone' 'transactional privacy'
 'recipient addresses']",['Cyclone' 'recipient addresses' 'transactional privacy' 'zkSNARKs']
187,DAOHQ - FTX DAO,['DeFi'],"Crypto Derivatives Exchange for traders by traders.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Binance', '700.8K']",['exchange' 'traders' 'crypto'],['Crypto Derivatives Exchange']
188,DAOHQ - Spectral Skellies DAO,"['Collector', 'Social']","NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '6.1K']",['nft collection'],['NFT collection']
189,DAOHQ - Koios DAO,['Social'],"The open learning infrastructure  A place to learn and earn for students all over the world. 1000+ students have enrolled through The Hague University!
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.8K'],"['open learning infrastructure' 'place' 'world' 'students'
 'hague university']",['The Hague University' 'open learning infrastructure' 'students']
190,DAOHQ - SlackerDAO,['Collector'],"DAO for SlackerDuck holders
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '9.1K']",['dao' 'slackerduck holders'],['SlackerDuck holders']
191,DAOHQ - BlackPool DAO,"['DeFi', 'Investment']","A new fund operating within the NFT industry: managing a range of assets from sports cards to game items to digital art.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '25.6K']","['digital art' 'sports cards' 'new fund' 'range' 'items' 'nft industry'
 'assets']",['NFT industry' 'digital art' 'game items' 'sports cards']
192,DAOHQ - Benchmark Protocol DAO,"['Protocol', 'DeFi']","A Decentralized Supply Elastic Digital Currency Built on the Chainlink Keeper Network
 Meet the MARK token, supply elastic token that adjusts supply on a daily basis to meet demand
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '2.6K']","['mark' 'supply' 'daily basis' 'chainlink keeper network' 'demand'
 'elastic token' 'decentralized supply elastic digital currency']","['Chainlink Keeper Network'
 'Decentralized Supply Elastic Digital Currency' 'MARK token']"
193,DAOHQ - Braintrust DAO,['Social'],"The first decentralized talent network
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '162.8K']",['first decentralized talent network'],['decentralized talent network']
194,DAOHQ - APY Vision DAO,"['DAO Tools', 'DeFi']","All-in-one liquidity pool analytics and yield farming rewards tracking tool
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '27.9K']",['tool' 'farming rewards' 'liquidity pool analytics'],['yield farming rewards tracking tool']
195,DAOHQ - Cubo DAO,['0x381d1...3dfe4'],"We’re building high-yield, sustainable, liquidity-owning #polygon nodes with full transparency.
",[],['11.4K'],['polygon nodes' 'yield' 'liquidity' 'full transparency'],['transparency']
196,DAOHQ - CoinBurp DAO,"['DeFi', 'Protocol']","Crypto trading platform on Trustpilot UK
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '68.2K']",['trustpilot uk' 'crypto trading platform'],['Crypto trading platform']
197,DAOHQ - Ponto  DAO,['DeFi'],"Exchange and liquidity API
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '298.0']",['exchange' 'liquidity api'],['liquidity API']
198,DAOHQ - UnknownDAO,['Social'],"Your cyber-home:A DAO to facilitate whole and free Individuals. We help people look inside to better achieve outside.
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.8K'],['people' 'dao' 'cyber' 'free individuals' 'home'],[]
199,DAOHQ - Colony DAO,['DAO Tools'],"The best way to build your DAO.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '23.6K']",['best way' 'dao'],[]
200,DAOHQ - APE DAO,['Collector'],"APE DAO started with the fractionalization (token partition) of 50 valuable NFTs into APED erc-20 tokens, which serve holders governance over their NFTs. General governance is currently token-barred, moving towards community rule.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '14.3K']","['valuable nfts' 'holders governance' 'community rule' 'aped'
 'fractionalization' 'erc-20 tokens' 'ape dao' 'general governance'
 'token partition' 'nfts']","['community rule' 'fractionalization' 'holders governance'
 'token partition']"
201,DAOHQ - Gelato Network DAO,"['DAO Tools', 'DeFi']","Automated smart contract executions on Ethereum
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '48.9K']",['ethereum' 'automated smart contract executions'],['Automated smart contract executions' 'Ethereum']
202,DAOHQ - AnubisDAO,['Social'],"A unique protocol built on KCC; features a dynamic buy back along with a dynamic sell tax, both depending on slippage
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '12.2K']",['dynamic sell tax' 'dynamic buy' 'slippage' 'kcc' 'unique protocol'],['KCC' 'dynamic buy back' 'dynamic sell tax' 'slippage']
203,DAOHQ - KitPics DAO,['Collector'],"NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '1.3K']",['nft collection'],['NFT collection']
204,DAOHQ - buildspace DAO,"['DAO Tools', 'Social']","The ability to create cool things right now, earn NFT, get access to secret cryptocurrency opportunities
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '190.4K']","['ability' 'secret cryptocurrency opportunities' 'cool things' 'access'
 'nft']",['NFT' 'secret cryptocurrency']
205,DAOHQ - Frax Finance DAO,['Protocol'],"The first fractional-algorithmic stablecoin protocol with an end goal of providing a highly scalable, decentralized, algorithmic money in place of fixed-supply digital assets like BTC.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '66.7K']","['supply' 'algorithmic money' 'btc' 'place' 'end goal'
 'algorithmic stablecoin protocol' 'digital assets']",[]
206,DAOHQ - Opium DAO,['Protocol'],"A universal and robust protocol that allows for creating, settling, and trading any decentralised derivative
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '12.0K']",['derivative' 'robust protocol' 'settling'],['decentralised derivative']
207,DAOHQ - Cross-Chain Capital DAO,['DeFi'],"Community-Led Investment DAO
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '3.7K']",['community' 'led investment dao'],[]
208,DAOHQ - AOICARD DAO,"[' aoicard.art Twitter ', ' aoicard.art', ' Twitter ']","Use our cryptography illustrations freely; If you would like to be part of #AOICARD, #NFT is also available for you and also 4k.🤝
",[],[],['🤝' 'part' 'aoicard' 'cryptography illustrations' 'nft'],['cryptography']
209,DAOHQ - Akropolis DAO,"['DeFi', 'Protocol']","DeFi yield on autopilot
 Akropolis is a company that operates an Ethereum-based decentralized finance protocol that seeks to provide an autonomous financial ecosystem for saving and growing wealth, including through borrowing and lending.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '56.2K']","['ethereum' 'defi yield' 'company' 'borrowing'
 'autonomous financial ecosystem' 'finance protocol' 'autopilot'
 'akropolis' 'wealth' 'lending']",['Akropolis' 'autonomous financial ecosystem' 'lending']
210,DAOHQ - Pathfinders DAO,['DeFi'],"DAO for community of crypto earning learners
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '824.0']",['community' 'dao' 'crypto' 'learners'],['crypto earning learners']
211,DAOHQ - BProtocol DAO,['Protocol'],"BProtocol offers liquidity backstops for DeFi protocols - incentivized pool-collateralization of specific undercollateralled loans, which allows more leverage for protocols’ general pools.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '9.1K']","['collateralization' 'bprotocol' 'protocols' 'general pools'
 'more leverage' 'pool' 'specific undercollateralled loans'
 'defi protocols' 'liquidity backstops']","['BProtocol' 'DeFi protocols' 'liquidity backstops' 'protocols'
 'undercollateralled loans']"
212,DAOHQ - Set Protocol DAO,['DeFi'],"An Ethereum-native DeFi primitive that leverages existing Open Finance protocols to allow for the bundling of crypto-assets into fully collateralised baskets, which are represented as ERC20 tokens on the Ethereum blockchain
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '52.9K']","['ethereum' 'open finance protocols' 'native defi primitive'
 'erc20 tokens' 'baskets' 'bundling' 'crypto' 'ethereum blockchain'
 'assets']","['ERC20 tokens' 'Ethereum blockchain' 'Open Finance protocols'
 'collateralised baskets']"
213,DAOHQ - Coffee Junkie Club DAO,"[' coffeejunkieclub.com Discord  Twitter ', ' coffeejunkieclub.com', ' Discord ', ' Twitter ']","A club where like minded individuals can come together over coffee.
 In the world where technology makes us feel even more isolated, we decided to create a project that will be focused on community. We can all agree that a good cup of coffee comes pretty darn close to a nice big hug. So here’s a hug from us to you with 6,000 uniquely brewed coffee junkies.
",[],['8.0K'],"['coffee junkies' 'good cup' 'hug' 'minded individuals' 'community'
 'project' 'world' 'club' 'nice big hug' 'coffee' 'technology']",[]
214,DAOHQ - dForce DAO,"['DAO Tools', 'Protocol', 'DeFi']","Advocates for building an integrated and interoperable open finance protocol matrix covering lending (global liquidity pool, yield markets), assets (stablecoin, synthetic asset, etc), and trading (liquidity aggregator, AMM)
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '17.6K']","['liquidity aggregator' 'stablecoin' 'lending' 'trading' 'advocates'
 'synthetic asset' 'amm' 'interoperable open finance protocol matrix'
 'global liquidity pool' 'assets' 'yield markets']","['assets' 'global liquidity pool'
 'interoperable open finance protocol matrix' 'lending'
 'liquidity aggregator' 'stablecoin' 'synthetic asset' 'trading'
 'yield markets']"
215,DAOHQ - Tempus DAO,"['DeFi', 'Investment']","A future yield tokenization and fixed rate protocol
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '16.6K']",['future yield tokenization' 'rate protocol'],['fixed rate protocol' 'yield tokenization']
216,DAOHQ - Bao Finance DAO,['DeFi'],"Our mission is to build an open platform for synthetic tokens that represent any data
 Bao (包) stands for a treasure or package. Something wonderful that is wrapped up in another layer. Bao buns, or in Chinese Baozi (包子) are delicious wrapped dumplings. These bao buns are the tradition of taking something good that exists, and wrapping it up into being a new treasure. Bao Finance aims to do this by being a new protocol that adds features to existing DeFi systems.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '12.9K']","['包' 'bao buns' '包子' 'bao' 'data' 'package' 'new protocol' 'mission'
 'chinese baozi' 'open platform' 'treasure' 'tradition' 'defi systems'
 'layer' 'synthetic tokens' 'something' 'features' 'dumplings'
 'bao finance' 'new treasure']","['Bao Finance' 'Bao buns' 'Baozi' 'bao buns' 'synthetic tokens'
 'wrapped dumplings']"
217,DAOHQ - Bitnomial DAO,['DeFi'],"Improved derivatives exchange technology coupled with new digital asset settlement systems
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Bitcoin', '424.0']","['improved derivatives' 'new digital asset settlement systems'
 'technology']",['derivatives exchange technology' 'digital asset settlement systems']
218,DAOHQ - Stabilize DAO,['DeFi'],"Borrow $SUSD against Basic Assets & Interest-Bearing Asset at 0% interest.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '411.0']",['% interest' 'basic assets' 'interest' 'susd' 'bearing asset'],['Basic Assets']
219,DAOHQ - UnlockProtocol DAO,"['DAO Tools', 'Social', 'Media']","Ʉnlock is an open source protocol for memberships as NFTs
 There are many ways to think about Decentralized Autonomous Organizations. One way to think of it is as a system are working together toward a shared goal, by leveraging the internet and its networks as their main collaboration tool.
For the Unlock DAO, the participants are anyone who owns our governance token (or, as anyone who uses the protocol can earn some, anyone who used the protocol, even only once)
Similarly, the goal is the development of the protocol. This includes the technical aspects (writing new features in the core contracts), but also the marketing aspects (promoting the protocol), or even operational ones around the DAO itself.
The tools we use are the UDT tokens to get started, as the way to establish voting, but also a brand new Governance contract. The Governance Contract uses OpenZeppelin’s libraries (see our code) and sets the process through which the DAO makes decision. To get started, we set a few defaults for these rules, but they can be altered by the community.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '15.9K']","['many ways' 'governance' 'new features' 'voting' 'governance contract'
 'decision' 'ʉnlock' 'new governance contract' 'few defaults' 'networks'
 'shared goal' 'code' 'dao' 'udt tokens' 'way' 'main collaboration tool'
 'open source protocol' 'brand' 'libraries' 'process' 'participants'
 'technical aspects' 'community' 'operational ones' 'marketing aspects'
 'openzeppelin' 'internet' 'system' 'memberships' 'nfts'
 'decentralized autonomous organizations' 'unlock dao' 'goal' 'anyone'
 'development' 'rules' 'tools' 'protocol' 'core contracts']","['' 'Decentralized Autonomous Organizations' 'Governance Contract'
 'Governance contract' 'UDT tokens' 'collaboration tool' 'internet'
 'marketing' 'memberships' 'open source protocol' 'voting' '�nlock']"
220,DAOHQ - Multis DAO,"['DAO Tools', 'DeFi']","Business wallet for crypto-native companies
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '3.7K']",['business wallet' 'native companies'],['Business wallet']
221,DAOHQ - NFT20 DAO,"['Social Impact', 'DeFi']","A permissionless p2p protocol to tokenize NFTs and make them tradable on decentralized exchanges such as UniSwap or Sushiswap
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Ethereum', '14.6K']",['uniswap' 'sushiswap' 'exchanges' 'permissionless p2p protocol' 'nfts'],['UniSwap' 'decentralized exchanges' 'permissionless p2p protocol']
222,DAOHQ - MCN Ventures DAO,"['DeFi', 'Grant']","For decisions about farming MCN
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['672.0'],['decisions' 'mcn'],[]
223,DAOHQ - Raid Guild DAO,['Service'],"A Decentralized Collective of Mercenaries Ready to Slay Your Web3 Product Demons.
 We believe that DAOs will power the future of work. Through the MetaCartel network, we assembled a fellowship of the best builders, designers and hustlers in the space in order to make this future a reality. By sharing resources, branding and collaboration tools, we can create positive-sum value for the Ethereum ecosystem in a way that has never been possible before the advent of DAOs.
We believe in Web3 and are here to build it, use it, and propogate it. The profits from our work will be used to fund development of open source tooling and public goods. We will share the learnings from our experiments and open source our processes for the community to learn and build from.
“If you want to go fast, go alone. If you want to go far, go together.”
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '10.5K']","['reality' 'ethereum ecosystem' 'processes' 'designers' 'future' 'web3'
 'order' 'way' 'community' 'work' 'hustlers' 'branding'
 'mercenaries ready' 'sum value' 'experiments' 'collaboration tools'
 'daos' 'public goods' 'space' 'metacartel network' 'web3 product demons'
 'fellowship' 'open source' 'resources' 'decentralized collective'
 'open source tooling' 'development' 'learnings' 'best builders' 'profits'
 'advent']","['DAOs' 'Ethereum' 'MetaCartel network' 'branding' 'collaboration'
 'open source tooling' 'public goods']"
224,DAOHQ - Yup DAO,['Social'],"Curate and share content across the web. Earn money and clout for your taste
","['1Hive', '8DAO', '4k', 'ACryptoS']",['Ethereum'],['share content' 'clout' 'web' 'curate' 'money' 'taste'],[]
225,DAOHQ - DoinGud DAO,"['Service', 'Social Impact']","DoinGud is an NFT ecosystem empowering creators, collectors, curators, and communities to do good  We are hiring!
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '29.1K']","['doingud' 'communities' 'collectors' 'curators' 'nft ecosystem' 'good'
 'creators']",['DoinGud' 'NFT ecosystem']
226,DAOHQ - EventDAO,"['DAO Tools', 'Media', 'Metaverse', 'Social', 'Social Impact']","EventDAO brings the world’s largest events, concerts into a decentralized space and shares event profits with the Community.🌍🎫
 EventDAO aims to create sustainable and profitable events that are voted by the DAO and implements blockchain solutions into the IRL entertainment industry.
With awarded advisors and angel investors behind our team, we have producers who worked with the artists such as Travis Scott, Drake, and Juice WRLD on our EventDAO Artist List.
","['88mph', 'APY Vision', '0x', '1inch Network']",['Ethereum'],"['producers' 'artists' 'shares event profits' 'juice wrld' 'dao'
 'community' 'world' 'eventdao artist list' 'solutions'
 'irl entertainment industry' 'largest events' 'profitable events'
 'advisors' '🎫' 'space' 'travis scott' 'drake' 'team' 'eventdao'
 'angel investors']","['Artist List' 'EventDAO' 'IRL entertainment industry' 'blockchain'
 'concerts' 'decentralized space']"
227,DAOHQ - Project Galaxy DAO,"['DAO Tools', 'Service']","Building a permissionless infrastructure that powers on-chain credentials with plug-and-play NFT modules
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '748.0K']",['nft modules' 'plug' 'chain credentials' 'permissionless infrastructure'],['permissionless infrastructure']
228,DAOHQ - Revenant DAO,"[' revenant.gg Discord  Twitter ', ' revenant.gg', ' Discord ', ' Twitter ']","The first decentralized gaming ecosystem on the #Metis network. Play. Earn. Invest.
",[],['10.2K'],['ecosystem' 'play' 'invest' '# metis network' 'earn'],['decentralized gaming ecosystem']
229,DAOHQ - Flamingo DAO,"['Collector', 'Investment']","A flamboyance of NFT collectors, curators, and artists
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '49.5K']",['curators' 'flamboyance' 'nft collectors' 'artists'],['NFT']
230,DAOHQ - HOPR Genesis DAO,"['DAO Tools', 'Social Impact']","We’re building a private internet for everyone.
 HOPR’s decentralized, incentivized mixnet obscures all metadata, including IP addresses, making it impossible to tell anything about who is communicating and what data they’re sending. HOPR is at the forefront of decentralized governance. The fair launch of the HOPR token was entirely community-driven, with 100% of raised funds remaining under control of the DAO. Regular governance experiments further research into effective governance techniques which balance the interests of small and large token holders.
","['About', '0x', 'APY Vision', '88mph', '1inch Network']","['Ethereum', '9.5K']","['private internet' '%' 'research' 'large token holders'
 'decentralized governance' 'anything' 'data' 'forefront' 'dao'
 'regular governance experiments' 'community' 'mixnet' 'hopr' 'metadata'
 'ip addresses' 'funds' 'control' 'everyone' 'fair launch'
 'effective governance techniques' 'interests']",['HOPR' 'IP addresses' 'decentralized governance' 'metadata']
231,DAOHQ - Radicle DAO,['Social'],"Radicle is a community-governed coding network that facilitates collaborative coding in a permissionless, creator-owned, interactive environment, with designated development tools.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '37.8K']","['development tools' 'interactive environment' 'collaborative coding'
 'creator' 'community' 'permissionless' 'radicle' 'network']",['Radicle' 'collaborative coding']
232,DAOHQ - FamilyParty DAO,"['Gaming', 'Metaverse']","A platform for Gamefi & NFT & Metaverse, based on DAO autonomy
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']",[],['metaverse' 'dao autonomy' 'gamefi' 'platform' 'nft'],['DAO autonomy' 'Metaverse']
233,DAOHQ - New Order DAO,['0x98585...37d96'],"A community-led incubation DAO building edge-of-the-edge DeFi products.
",[],['937.0'],['edge' 'community' 'incubation dao' 'edge defi products'],[]
234,DAOHQ - Celo  DAO,"['Protocol', 'Social Impact']","Open platform that makes financial tools accessible to anyone with a mobile phone
","['Aave', 'ARCx', 'APWine', 'API3']",['417.0K'],['financial tools' 'mobile phone' 'open platform' 'anyone'],['financial tools' 'mobile phone']
235,DAOHQ - MoonDAO,['0x20d4d...41395'],"MoonDAO’s mission is is to create a self-sustaining, self-governing colony on the Moon to act as a launch point for humanity to explore the cosmos.
",[],[],"['colony' 'launch point' 'mission' 'self' 'humanity' 'moondao' 'moon'
 'cosmos']",['Moon' 'MoonDAO' 'humanity']
236,DAOHQ - EPNS DAO,['Protocol'],"World’s First Decentralized Notification (communication) Protocol for Web3.0
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '119.4K']","['communication' 'first decentralized notification' 'protocol' 'web3.0'
 'world']",[]
